image_filename;mean_color_red;mean_color_green;mean_color_blue
zinc_2;127.72282202030999;132.84019241047568;131.14302512025654
zinc_22;131.20045158053185;136.04641244355244;136.51078775715
zinc_17;163.09663582842725;164.65029436501263;167.51640033641715
zinc_8;156.8264931598265;160.08762095428762;161.1233900567234
zinc_26;111.37595812301365;119.38194054963544;123.77341559169939
zinc_27;111.23454321747155;117.7534604737004;121.65856659489388
zinc_21;129.97010463378177;134.89728806320736;138.2865684390348
zinc_11;155.49298329355608;160.12677804295942;162.59742243436753
zinc_7;102.82797908106089;107.26335450130743;106.71666044079193
zinc_24;112.12259395050413;115.86801099908341;115.85403299725023
zinc_25;112.45148193260252;116.13844904587901;116.54953308972797
zinc_10;149.08666975237213;154.69960657255265;157.7711177968063
zinc_3;132.50406259404153;136.75052663256093;135.40314976426924
zinc_4;98.31059622490763;108.03825027464296;111.3965844402277
zinc_1;117.51992931474572;125.3274101708227;126.67887296289024
zinc_19;96.7621736062103;105.99280169371913;108.75723359209597
zinc_14;126.19568449029235;136.54781746925536;140.36398035947565
zinc_16;165.39277196844617;167.38864428545222;170.12089524857825
zinc_18;99.98586649271581;109.41639486844966;112.45281582952816
zinc_6;102.2770129328327;107.02482269503547;106.4726741760534
zinc_20;137.6777251184834;142.6263823064771;145.4277251184834
zinc_23;135.65384615384616;140.40795909293018;141.92196531791907
zinc_13;117.44805364451798;122.59522772794566;123.02856396412088
zinc_12;116.82934637616718;121.9805246776345;122.14984437527791
zinc_15;125.18661194951902;135.33020033536317;139.5166357779543
zinc_9;158.3509180080483;161.52911217303824;162.82017102615694
zinc_5;98.22765297490366;107.6622802895009;111.04530500986935
