image_filename;mean_color_red;mean_color_green;mean_color_blue
brass_9;94.33790443539748;121.02796228840798;130.55099635740305
brass_22;80.01083766087153;118.94671483404832;138.07789568751411
brass_6;72.79611010384045;125.59568155595846;146.57310037910005
brass_14;98.36823338735819;154.1260940032415;166.92706645056725
brass_7;86.04864036767522;130.38088854844887;147.32688625047874
brass_1;86.92931937172774;129.47905759162305;157.19589877835952
brass_12;88.70139571456654;133.91173579712995;152.18793001769217
brass_19;72.48731408573929;115.35367454068242;132.93022747156604
brass_24;83.36203158872716;121.79049241251161;139.47878600185817
brass_17;68.6205994769664;111.7966203983102;130.5851941259304
brass_21;81.93230174081238;121.25725338491296;140.0174081237911
brass_16;73.93604491920021;111.80662832100795;129.49821966584497
brass_3;81.16998631594952;124.82606051391211;142.26835943439258
brass_15;105.4026658400496;153.65840049597026;164.0681959082455
brass_13;89.82543061737952;133.90071608283336;151.70969614863557
brass_20;77.1349614395887;117.82596401028277;137.51362467866323
brass_18;73.31638418079096;114.91707021791767;131.64326069410816
brass_4;79.7852888624181;122.28469326980345;139.64711137581895
brass_8;87.87815511702615;132.6460532354291;149.515374024782
brass_23;83.55360789652825;126.99761742682097;146.61027910142954
brass_5;65.51263057929725;118.24767331433998;139.89420702754038
brass_10;84.04079475797928;100.09205242020714;109.12016487000633
brass_11;107.78491037932471;141.91079616506877;155.02751146310962
brass_2;86.57069306930693;125.78613861386138;151.46534653465346
