image_filename;mean_color_red;mean_color_green;mean_color_blue
pcb_21;94.7703826955075;112.15108153078204;100.5630615640599
pcb_2;112.19118899841791;135.37982231958136;113.6288183035171
pcb_8;90.07184991780292;116.30432259936177;101.52770525094284
pcb_9;98.92125726446754;124.3256118523369;112.73062126544978
pcb_15;89.72474964234621;121.79084406294707;111.208226037196
pcb_12;103.59273875295975;120.73322809786899;109.24743488555643
pcb_16;112.94386852085967;134.50986093552464;112.22768647281922
pcb_10;101.31281580156178;120.2875516766192;113.89848415250344
pcb_18;121.47257268239166;137.0030170049369;133.74684585847504
pcb_1;103.71258073574839;129.4039595619208;104.3305251333895
pcb_6;85.9598262757872;110.85572747014115;100.85532030401737
pcb_17;95.59908696302949;119.59010627151623;107.20543331836551
pcb_20;90.11455431754875;114.31511142061281;82.95473537604457
pcb_4;112.73850013939224;134.15834959576247;135.6855310844717
pcb_19;91.35122119023048;114.6983144134847;83.99105607155143
pcb_3;105.63658201784489;131.56348661633493;133.64481811942346
pcb_14;118.64624624624625;132.62342342342342;132.1009009009009
pcb_5;101.01222774168896;120.36339319831869;113.3916698509744
pcb_7;95.55959447742279;126.45841392649903;116.62789301674114
pcb_13;107.71433060967945;121.78912633563796;113.59648020113137
pcb_11;104.03298900366545;120.49316894368543;115.14828390536488
