image_filename;mean_color_red;mean_color_green;mean_color_blue
copper_22;160.81132075471697;187.9182389937107;220.1740041928721
copper_13;147.9082151458389;174.1032914102221;205.3866738025154
copper_17;144.20888468809073;172.18620037807185;202.9820415879017
copper_5;150.81827654475356;179.78701677607586;208.5159945816401
copper_2;138.75929283771532;172.6591115140526;211.45376246600182
copper_12;149.86689503303157;176.1891362857842;207.92439442133593
copper_1;176.1599008366904;192.89990703439727;210.9761388286334
copper_9;153.00192408605912;172.67465453909392;192.66503410879832
copper_15;147.1438186326603;176.71519659936237;194.43428976266384
copper_16;155.52121667292528;184.1828764551258;215.80773563650018
copper_20;135.78832116788323;170.1824817518248;200.44160583941607
copper_4;167.3165543386689;190.18681550126368;220.96588037068238
copper_23;156.7014115092291;186.98957654723128;216.642779587405
copper_8;146.56334688346882;171.9749322493225;200.47527100271003
copper_3;162.81167315175097;188.69260700389106;217.61167315175098
copper_7;157.77748962655602;196.25077800829877;229.63070539419087
copper_6;137.63619047619048;179.61809523809524;221.10095238095238
copper_18;147.17457627118645;179.55141242937853;217.05084745762713
copper_11;160.58421379738968;177.20261031696705;192.8452454940957
copper_24;164.28416779431663;193.78800180423997;225.1172755976545
copper_10;143.7956487956488;174.28554778554778;212.13947163947165
copper_14;143.03347534996956;172.2939744370055;209.8934875228241
copper_19;151.43509082853345;176.9127159946832;218.61364643331856
